block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
2921.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,2921,"1,0,0,2,3,0,0,0,0",2921.0,,5930,0.0,to_hand,poldrack-single-stim,s548
2547.0,UA_with_intermeidate,,"1,0,0,2,3,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71,82",0.0,,2547,"1,0,0,2,3,0,0,0,0",2547.0,,8479,0.0,to_board,poldrack-single-stim,s548
949.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71",0.0,,949,"1,0,0,2,3,0,0,0,0",949.0,,9431,0.0,to_hand,poldrack-single-stim,s548
1593.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",0.0,,1593,"1,0,0,2,3,0,0,0,0",1593.0,,11025,0.0,to_board,poldrack-single-stim,s548
2922.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",0.0,,2922,"1,0,0,2,3,0,0,0,0",2922.0,,13948,0.0,to_hand,poldrack-single-stim,s548
1608.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,2,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,71,82",0.0,,1608,"1,0,0,2,3,0,0,0,0",1608.0,,15557,0.0,to_board,poldrack-single-stim,s548
594.0,UA_with_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,4.0,"89,82",0.0,,594,"1,0,0,2,3,0,0,0,0",594.0,,16152,0.0,to_hand,poldrack-single-stim,s548
1011.0,UA_with_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,4.0,"89,71,82",0.0,,1011,"1,0,0,2,3,0,0,0,0",1011.0,,17164,0.0,to_board,poldrack-single-stim,s548
3538.0,UA_with_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,5.0,"71,82",0.0,,3538,"1,0,0,2,3,0,0,0,0",3538.0,,20703,0.0,to_hand,poldrack-single-stim,s548
1003.0,UA_with_intermeidate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,5.0,"89,71,82",0.0,,1003,"1,0,0,2,3,0,0,0,0",1003.0,,21708,0.0,to_board,poldrack-single-stim,s548
889.0,UA_with_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,6.0,"71,82",0.0,,889,"1,0,0,2,3,0,0,0,0",889.0,,22599,0.0,to_hand,poldrack-single-stim,s548
563.0,UA_with_intermeidate,,"0,0,0,1,2,3,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,6.0,"89,71,82",0.0,,563,"1,0,0,2,3,0,0,0,0",563.0,,23163,0.0,to_board,poldrack-single-stim,s548
4222.0,UA_with_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,7.0,71,0.0,,4222,"1,0,0,2,3,0,0,0,0",4222.0,,27387,0.0,to_hand,poldrack-single-stim,s548
2465.0,UA_with_intermeidate,,"0,0,0,1,2,3,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,7.0,"89,71,82",0.0,,2465,"1,0,0,2,3,0,0,0,0",2465.0,,29852,0.0,to_board,poldrack-single-stim,s548
1249.0,UA_with_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,8.0,71,0.0,,1249,"1,0,0,2,3,0,0,0,0",1249.0,,31103,0.0,to_hand,poldrack-single-stim,s548
1007.0,UA_with_intermeidate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,8.0,"89,71,82",0.0,,1007,"1,0,0,2,3,0,0,0,0",1007.0,,32111,0.0,to_board,poldrack-single-stim,s548
2398.0,UA_with_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,9.0,"71,82",0.0,,2398,"1,0,0,2,3,0,0,0,0",2398.0,,34511,0.0,to_hand,poldrack-single-stim,s548
337.0,UA_with_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,9.0,"89,71,82",0.0,,337,"1,0,0,2,3,0,0,0,0",337.0,,34849,0.0,to_board,poldrack-single-stim,s548
539.0,UA_with_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,10.0,"71,82",0.0,,539,"1,0,0,2,3,0,0,0,0",539.0,,35390,0.0,to_hand,poldrack-single-stim,s548
655.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,2,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,10.0,"89,71,82",0.0,,655,"1,0,0,2,3,0,0,0,0",655.0,,36046,0.0,to_board,poldrack-single-stim,s548
