block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
2300.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",846,500.0,,-88913,0.0,probe,0.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",751,500.0,,-84402,0.0,probe,1.0,poldrack-single-stim,s558
2500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",380,500.0,,-78894,0.0,probe,2.0,poldrack-single-stim,s558
1900.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",342,500.0,,-73984,0.0,probe,3.0,poldrack-single-stim,s558
2100.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",580,500.0,,-68877,0.0,probe,4.0,poldrack-single-stim,s558
1700.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",754,500.0,,-64167,0.0,probe,5.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",333,500.0,,-59659,0.0,probe,6.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",515,500.0,,-55152,0.0,probe,7.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",310,500.0,,-50645,0.0,probe,8.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",643,500.0,,-46138,0.0,probe,9.0,poldrack-single-stim,s558
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",727,500.0,,7147,0.0,probe,0.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",479,500.0,,11290,0.0,probe,1.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",486,500.0,,15297,0.0,probe,2.0,poldrack-single-stim,s558
1500.0,AX,0.0,89.0,test,dot_pattern_expectancy,71.0,"89,71",445,500.0,,19304,0.0,probe,3.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",439,500.0,,23718,0.0,probe,4.0,poldrack-single-stim,s558
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",347,500.0,,27859,0.0,probe,5.0,poldrack-single-stim,s558
2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",427,500.0,,32408,0.0,probe,6.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",436,500.0,,36686,0.0,probe,7.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",439,500.0,,40691,0.0,probe,8.0,poldrack-single-stim,s558
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",447,500.0,,45377,0.0,probe,9.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",467,500.0,,49383,0.0,probe,10.0,poldrack-single-stim,s558
3676.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",400,500.0,,55564,0.0,probe,11.0,poldrack-single-stim,s558
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",384,500.0,,59705,0.0,probe,12.0,poldrack-single-stim,s558
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",307,500.0,,63848,0.0,probe,13.0,poldrack-single-stim,s558
1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",470,500.0,,67855,0.0,probe,14.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",462,500.0,,72269,0.0,probe,15.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",459,500.0,,76412,0.0,probe,16.0,poldrack-single-stim,s558
1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",302,500.0,,80419,0.0,probe,17.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",406,500.0,,84831,0.0,probe,18.0,poldrack-single-stim,s558
2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",401,500.0,,89518,0.0,probe,19.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",542,500.0,,93797,0.0,probe,20.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",438,500.0,,97803,0.0,probe,21.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",477,500.0,,101808,0.0,probe,22.0,poldrack-single-stim,s558
2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",451,500.0,,106358,0.0,probe,23.0,poldrack-single-stim,s558
2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",505,500.0,,111723,0.0,probe,24.0,poldrack-single-stim,s558
1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",317,500.0,,115730,0.0,probe,25.0,poldrack-single-stim,s558
1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",407,500.0,,120009,0.0,probe,26.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",458,500.0,,124289,0.0,probe,27.0,poldrack-single-stim,s558
2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",311,500.0,,129654,0.0,probe,28.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",431,500.0,,133932,0.0,probe,29.0,poldrack-single-stim,s558
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",334,500.0,,138074,0.0,probe,30.0,poldrack-single-stim,s558
2452.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",278,500.0,,143031,0.0,probe,31.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",393,500.0,,147173,0.0,probe,32.0,poldrack-single-stim,s558
1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",320,500.0,,151179,0.0,probe,33.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",475,500.0,,155320,0.0,probe,34.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",551,500.0,,159461,0.0,probe,35.0,poldrack-single-stim,s558
2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",360,500.0,,164146,0.0,probe,36.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",394,500.0,,168151,0.0,probe,37.0,poldrack-single-stim,s558
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",790,500.0,,172293,0.0,probe,38.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",658,500.0,,176435,0.0,probe,39.0,poldrack-single-stim,s558
7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,183937,1000.0,rest_block,,poldrack-single-stim,s558
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",450,500.0,,191627,0.0,probe,0.0,poldrack-single-stim,s558
2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",650,500.0,,196449,0.0,probe,1.0,poldrack-single-stim,s558
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",992,500.0,,200590,0.0,probe,2.0,poldrack-single-stim,s558
1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",311,500.0,,205004,0.0,probe,3.0,poldrack-single-stim,s558
3540.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",420,500.0,,211049,0.0,probe,4.0,poldrack-single-stim,s558
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",314,500.0,,215191,0.0,probe,5.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",334,500.0,,219197,0.0,probe,6.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",514,500.0,,223203,0.0,probe,7.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",457,500.0,,227482,0.0,probe,8.0,poldrack-single-stim,s558
2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",329,500.0,,232439,0.0,probe,9.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",432,500.0,,236853,0.0,probe,10.0,poldrack-single-stim,s558
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",354,500.0,,240994,0.0,probe,11.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",413,500.0,,245001,0.0,probe,12.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",392,500.0,,249141,0.0,probe,13.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",614,500.0,,253283,0.0,probe,14.0,poldrack-single-stim,s558
2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",304,500.0,,258240,0.0,probe,15.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",431,500.0,,262246,0.0,probe,16.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",309,500.0,,266251,0.0,probe,17.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",414,500.0,,270392,0.0,probe,18.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",476,500.0,,274536,0.0,probe,19.0,poldrack-single-stim,s558
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",637,500.0,,278678,0.0,probe,20.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",488,500.0,,282683,0.0,probe,21.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",526,500.0,,286689,0.0,probe,22.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",385,500.0,,290966,0.0,probe,23.0,poldrack-single-stim,s558
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",441,500.0,,295652,0.0,probe,24.0,poldrack-single-stim,s558
1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",384,500.0,,299930,0.0,probe,25.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",298,500.0,,303937,0.0,probe,26.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",423,500.0,,307943,0.0,probe,27.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",364,500.0,,312085,0.0,probe,28.0,poldrack-single-stim,s558
2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",608,500.0,,316770,0.0,probe,29.0,poldrack-single-stim,s558
2316.0,AY,0.0,71.0,test,dot_pattern_expectancy,89.0,"89,71",308,500.0,,321591,0.0,probe,30.0,poldrack-single-stim,s558
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",340,500.0,,325733,0.0,probe,31.0,poldrack-single-stim,s558
2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",892,500.0,,330418,0.0,probe,32.0,poldrack-single-stim,s558
2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",689,500.0,,334968,0.0,probe,33.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",495,500.0,,339245,0.0,probe,34.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",468,500.0,,343251,0.0,probe,35.0,poldrack-single-stim,s558
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",440,500.0,,347939,0.0,probe,36.0,poldrack-single-stim,s558
2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",591,500.0,,352897,0.0,probe,37.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",432,500.0,,357038,0.0,probe,38.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",651,500.0,,361452,0.0,probe,39.0,poldrack-single-stim,s558
7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,368955,1000.0,rest_block,,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",517,500.0,,376236,0.0,probe,0.0,poldrack-single-stim,s558
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",433,500.0,,380242,0.0,probe,1.0,poldrack-single-stim,s558
2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",659,500.0,,385201,0.0,probe,2.0,poldrack-single-stim,s558
1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",601,500.0,,389480,0.0,probe,3.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",471,500.0,,393895,0.0,probe,4.0,poldrack-single-stim,s558
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",480,500.0,,398309,0.0,probe,5.0,poldrack-single-stim,s558
2588.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",506,500.0,,403402,0.0,probe,6.0,poldrack-single-stim,s558
1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",543,500.0,,407408,0.0,probe,7.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",700,500.0,,411413,0.0,probe,8.0,poldrack-single-stim,s558
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",532,500.0,,415419,0.0,probe,9.0,poldrack-single-stim,s558
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",400,500.0,,419560,0.0,probe,10.0,poldrack-single-stim,s558
2044.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",452,500.0,,424110,0.0,probe,11.0,poldrack-single-stim,s558
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",460,500.0,,428390,0.0,probe,12.0,poldrack-single-stim,s558
2588.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",549,500.0,,433483,0.0,probe,13.0,poldrack-single-stim,s558
1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",640,500.0,,437489,0.0,probe,14.0,poldrack-single-stim,s558
