,SS_delay,SS_duration,SS_stimulus,SS_trial_type,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",1197,False,,-80206,stim,0.0,poldrack-categorize,s471
6,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",565,False,,-77600,stim,1.0,poldrack-categorize,s471
7,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",505,False,,-74994,stim,2.0,poldrack-categorize,s471
8,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",526,False,,-72388,stim,3.0,poldrack-categorize,s471
9,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",467,False,,-69782,stim,4.0,poldrack-categorize,s471
10,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",550,False,,-67176,stim,5.0,poldrack-categorize,s471
11,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",585,False,,-64569,stim,6.0,poldrack-categorize,s471
12,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",485,False,,-61962,stim,7.0,poldrack-categorize,s471
13,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",480,False,,-59358,stim,8.0,poldrack-categorize,s471
14,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",478,False,,-56752,stim,9.0,poldrack-categorize,s471
15,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",493,False,,-54145,stim,10.0,poldrack-categorize,s471
16,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",509,False,,-51539,stim,11.0,poldrack-categorize,s471
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",688,False,,5398,stim,0.0,stop-signal,s471
37,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",526,False,,7924,stim,1.0,stop-signal,s471
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,89.0,test,stop_signal,89.0,True,"89,71",488,False,,10857,stim,2.0,stop-signal,s471
39,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",513,False,,13383,stim,3.0,stop-signal,s471
40,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",436,False,,15908,stim,4.0,stop-signal,s471
41,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",450,False,,18161,stim,5.0,stop-signal,s471
42,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,71.0,test,stop_signal,71.0,True,"89,71",461,False,,20687,stim,6.0,stop-signal,s471
43,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",541,False,,23075,stim,7.0,stop-signal,s471
44,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",487,False,,25329,stim,8.0,stop-signal,s471
45,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",372,False,,27718,stim,9.0,stop-signal,s471
46,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",600,False,,29972,stim,10.0,stop-signal,s471
47,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,89.0,test,stop_signal,-1.0,True,"89,71",-1,True,,32362,stim,11.0,stop-signal,s471
