"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"-1","-1","poldrack-single-stim","12","48312","0.0-5.0-7.0","s618","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"684","89","poldrack-categorize","13","50315","0.0-5.0-8.0-0.0","s618","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","5","practice",""
"-1","-1","poldrack-single-stim","14","50567","0.0-5.0-9.0","s618","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"744","82","poldrack-categorize","15","52571","0.0-5.0-10.0-0.0","s618","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","6","practice",""
"-1","-1","poldrack-single-stim","16","52827","0.0-5.0-11.0","s618","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"434","71","poldrack-categorize","17","54833","0.0-5.0-12.0-0.0","s618","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","7","practice",""
"-1","-1","poldrack-single-stim","18","55089","0.0-5.0-13.0","s618","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"516","89","poldrack-categorize","19","57094","0.0-5.0-14.0-0.0","s618","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","8","practice",""
"-1","-1","poldrack-single-stim","20","57347","0.0-5.0-15.0","s618","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"517","71","poldrack-categorize","21","59349","0.0-5.0-16.0-0.0","s618","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","9","practice",""
"-1","-1","poldrack-single-stim","22","59605","0.0-5.0-17.0","s618","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"65023","32","poldrack-text","23","124630","0.0-6.0","s618","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","65023","0","fmri_scanner_wait","","","","","","","","","","","",""
"1624","84","poldrack-text","24","126255","0.0-7.0","s618","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1624","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","25","126935","0.0-8.0","s618","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","26","127615","0.0-9.0","s618","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","27","128295","0.0-10.0","s618","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","28","128975","0.0-11.0","s618","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
